sentence,difficulty
"Observant que, à l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblée nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblée, le rapporteur a souhaité rappeler que la démarche suivie par les députés, consistait à mettre en oeuvre des solutions permettant d'optimiser la présence des femmes dans la vie politique.",C1
"Le 7 mars 1815, les dames étaient de retour, depuis l'avant-veille, d'un charmant petit voyage de Milan ; elles se promenaient dans la belle allée de platanes, récemment prolongée sur l'extrême bord barque parut, venant du côté de Côme, et fit des signes singuliers.",C1
"L'espace, son espace, transplanté sur une île, l'Islande, qui s'étire jusqu'aux confins de l'exil et qui rejoint des âges sur le retour.",C1
Le rythme d'extinction des langues a ainsi atteint des proportions sans précédent dans l'histoire : 10 par an à l'échelle mondiale.,C1
"Aristocrate de naissance, il haîssait par instinct quatre-vingt-treize; mais philosophe par tempérament, et libéral par éducation, il exécrait la tyrannie d'une haine inoffensive et déclamatoire.",C1
"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soit enseignée à l'école (24 % à partir du primaire, 41 % à partir du collège). Mais cette initiative suscite par ailleurs de nombreuses réticences.",C1
"Comme le révélait récemment la police italienne, les réseaux de prostitution, les trafiquants d'armes et les vendeurs de drogue utilisent de plus en plus le logiciel de téléphonie par Internet.",C1
Ce commandant mena plusieurs batailles épiques grâce à sa bravour et ses tactiques militaires ingénieuses.,C1
"Et pour cause: les seuls établissements non mixtes de l'Hexagone sont des institutions privées, même si elles ne représentent que 5% environ des écoles, collèges et lycées.",C1
Quelle tête à claques celle-là !,C1
"Après 22 ans de vie parisienne, cet ancien designer-graphiste a décidé de se consacrer à sa passion de toujours : la cuisine",C1
C'est dramatique qu'ils aient été amnésique suite au terrible accident survenu lors des tests de laboratoire.,C1
"En prenant toute configuration géographique pour un objet historique et réciproquement, la géohistoire participe au dépassement des conceptions d'un monde dont la diversité ne serait traduite que par des ""civilisations"" intemporelles et incompatibles entre elles.",C1
Le visa de court séjour est délivré pour 3 mois au plus,C1
"La loi sur laquelle s'est appuyé le gouvernement néerlandais pour imposer un couvre-feu est prévue pour des ""circonstances très urgentes et exceptionnelles"".",C1
"Oui, la raison a pu s'accommoder de la théologie païenne.",C1
"Selon les auteurs de l'article Cahiers santé, l'accès facile à des huiles peu onéreuses a joué un rôle prépondérant en raison d'une production industrielle généralisée à bas prix.",C1
La police investit d'ailleurs chaque année des millions d'euros afin d'écouter électroniquement les conversations des suspects.,C1
"Le romancier qui transforme la vérité constante, brutale et déplaisante, pour en tirer une aventure exceptionnelle et séduisante, doit, sans souci exagéré de la vraisemblance, manipuler les événements à son gré; les préparer et les arranger pour plaire au lecteur, l'émouvoir ou l'attendrir.",C1
"Les dettes relevées au niveau individuel sont attribuées solidairement à l'ensemble des membres du ménage, les résultats diffusés indiquant ainsi les pourcentages de la population vivant dans un ménage avec le ou les types de dettes considérés.",C1
"Étant féru d'art, Yves Saint Laurent a constitué, au fil des années, une importante collection d'objets précieux et de peintures qui ont inspiré certaines de ses créations.",C1
"Une fois utilisés, ou manipulés, les résultats sont écrits soit dans des mémoires, soit dans des composants qui peuvent transformer une valeur binaire en une action physique.",C1
Elle reconnaissait tous les enivrements et les angoisses dont elle avait manqué mourir.,C1
"Ils ne virent rien, si ce n'est un fort remous qui brisait à trois encablures, comme si les nappes liquides eussent été violemment battues.",C1
"Sa langue s'embarrasse, se dit en parlant d'une personne devenue incapable d'articuler distinctement.",C1
"Fabrice était le savant de la troupe, et l'on passait la plusieurs heures fort gaiement, loin des espions.",C1
"Jusqu'à ce récit exceptionnel qu'est Migrations, premier roman de l'Australienne Charlotte McConaghy, sur des vies à bout de souffle.",C1
"Ici, tout est mêlé et accéléré , souligne la sociologue.",C1
"Après quelques mois de cette pauvreté noble, assiégée par les lettres continuelles de Limercati, et même du comte N. qui lui aussi voulait épouser, il arriva que le marquis del.",C1
"La société SpaceX conçoit, construit et commercialise les lanceurs Falcon 9, les moteurs Merlin qui les propulsent ainsi que le vaisseau cargo Dragon et sa version habitée, le Crew Dragon.",C1
"Les sénateurs, investis par le suffrage universel indirect de tous les droits et obligations attachés à la fonction parlementaire, sont élus pour six ans par un collège électoral de plus de 160 000 élus.",C1
"Dans un premier temps, les locuteurs subissent une très forte pression - politique, sociale ou économique - pour parler la langue dominante.",C1
"Il en résulte alors des conséquences désastreuses pour certaines espèces ; pour le cerf, on parle d'une malformation de la mâchoire, d'une masse corporelle limitée, d'organes sous-dimensionnés et d'une vie sexuée réduite.",C1
"Ne trouves-tu pas que ces vieux murs noircis, symboles maintenant et autrefois moyens du despotisme, sont une véritable image du triste hiver ?",C1
"Se reconvertir, mode d'emploi, les deux auteures donnent des indices.",C1
"En parallèle, les romans et les films de science-fiction ont présenté des robots, comme les Transformers par exemple, aux pouvoirs surhumains.",C1
"Mais il faut pour cela qu'un certain nombre de conditions soient réunies : la communauté elle-même doit avoir envie de sauver sa langue ; la culture plus vaste dans laquelle elle s'inscrit doit respecter les langues minoritaires ; et il faut des fonds pour financer les cours, le matériel pédagogique et les enseignants.",C1
"Pour une meilleure conservation, notre chef a transformé ses piments végétariens et son ail en purée, en les mixant avec une à deux cuillères d'huile",C1
"Une crise survient à l'issue d'une période de quelques mois, pendant laquelle la pression - professionnelle, familiale ou existentielle - ne cesse de monter.",C1
"Le personnage de Saul Goodman est créé pour conduire Walter et Jesse vers un trafic de drogue à plus grande échelle, suppléant à des personnages tels que Badger, un petit trafiquant ami de Jesse.",C1
"Chaque printemps, la Quinzaine du commerce équitable est l'occasion de lancer de grandes campagnes de sensibilisation.",C1
"Elle rit, alla et vint, se sachant admirée, sentant que sa robe plaquait bien aux endroits nécessaires.",C1
"Bien que les policiers réclament plus de pouvoirs concernant l'écoute électronique des logiciels de téléphonie Internet, l'Italie a souligné son désaccord avec une telle politique.",C1
"Ils doivent également présenter, le cas échéant, les documents justifiant de l'objet et des conditions de leur séjour",C1
"Au niveau national, la part de patients en réanimation parmi tous ceux qui sont hospitalisés a augmenté ces dernières semaines.",C1
Lequel des deux assouvit le mieux sa passion ?,C1
"Aujourd'hui, la classe inversée, une innovation pédagogique qui rencontre un succès sans précédent.",C1
"Héloïse Dufour, donc je le disais, vous êtes biologiste.",C1
"On a un prof super cool, genre métissé, cheveux hirsutes, fringues cooles et classes.",C1
"Comme ingénieur et inventeur, Léonard développe des idées très en avance sur son temps, des prototypes d'avion, d'hélicoptère, de sous-marin et même d'automobile.",C1
"Il est un autre horizon qu'annoncent les biologistes : la sixième extinction des espèces, qui n'épargnera que les animaux d'élevage, propres à l'exploitation directe.",C1
Ainsi une centaine de caméras automatiques installées sur le sol français surveillent en permanence la rentrée de météorites dans l'atmosphère.,C1
"Ses confrères les curés des environs, fort jaloux de son influence, le détestaient ; le marquis del Dongo le méprisait tout simplement, parce qu'il raisonnait trop pour un homme de si bas étage.",C1
"Deux fois, malgré sa pauvreté, la comtesse vint passer quelques jours à Milan ; il s'agissait de voir un ballet sublime de Vigano, donné au théâtre de la Scala, et le marquis ne défendait point à sa femme d'accompagner sa belle-soeur.",C1
Giscard va pourtant réussir à transformer ce revers en tremplin,C1
"Faits divers, faits divers, alors qu'on est au printemps, faits divers alors qu'on est au printemps",C1
"SpaceX, officiellement Space Exploration Technologies Corporation, est une entreprise américaine spécialisée dans le domaine de l'astronautique et du vol spatial.",C1
Cruel paradoxe.,C1
"Les Cyanobactéries se distinguent des Bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.",C1
"Ça veut dire ""Sapeurs-Pompiers""",C1
La FAO (Organisation pour l'alimentation et l'agriculture) estime que 95 % des personnes victimes de sous-alimentation chronique vivent dans les pays en voie de développement.,C1
"Paul Boury, 52 ans, conseiller en communication doté d'un carnet d'adresses en or, est de ces quinquas heureux.",C1
Ça a développé je pense instinctivement et naturellement ma créativité en cuisine,C1
Des start-up développent des solutions sur le thème de la reconnaissance temps-réel de formes dans une vidéo.,C1
"Si certaines disciplines comme la marche à pied ou la natation sont mixtes, ""les femmes sont ainsi largement minoritaires"" dans les sports de raquette, avec une représentation d'un tiers en tennis, squash, badminton ou tennis de table, et encore moins dans les sports collectifs (football, basket-ball, volley-ball, handball) avec un pratiquant sur cinq.",C1
"Si les centaines de millions d'affamés de la planète sont inacceptables, la situation alimentaire internationale donne pourtant, selon les spécialistes, "" des signes lents mais tangibles d'amélioration"".",C1
"L'arme était à mi-hauteur lorsque la louve, comme mue par un ressort, fit un bond de côté et disparut derrière le bosquet de sapins.",C1
"Certaines entreprises refusent systématiquement les quinquas, s'insurge Danièle Lepeu, qui dirige l'agence seniors de la société de travail temporaire Adecco, à Boulogne-Billancourt.",C1
"La seconde modernité y adjoint un individualisme plus concret qui valorise la construction des identités de chacun et de chacune, puisque l'émancipation des femmes ressortit de cette période.",C1
"Si le smartphone fait partie de notre quotidien et rend de nombreux services, de récentes recherches montrent qu'il présente des risques dont ses utilisateurs doivent se méfier.",C1
"Les familles qui continuent de la parler voient diminuer le nombre de leurs interlocuteurs et, le domaine d'usage se rétrécissant, cela aboutit à la création de dialectes familiaux .",C1
- Parbleu !,C1
"Avec la lutte contre le séparatisme, une stratégie d'entrave et répressive contre l'islam radical est mise en oeuvre.",C1
"Celui-ci se hisse, en effet, au quatrième rang mondial du marché noir, derrière les stupéfiants, la contrefaçon et le trafic d'êtres humains.",C1
Les changements dans les systèmes alimentaires - depuis le champ jusqu'à l'assiette - nécessitent aussi de nouvelles politiques.,C1
Les nationalités non soumises à visa (liste commune établie par les pays membres) peuvent circuler sur le territoire Schengen pendant une période de 3 mois au maximum,C1
"Du fait de la progression démographique et du développement des classes moyennes dans le monde, les systèmes éducatifs vont devoir former, d'ici à 2050, autant d'étudiants que durant toute l'histoire de l'humanité réunie.",C1
Versez peu à peu la farine dans le mélange oeuf-sucre pour éviter les grumeaux,C1
"La charpente et la couverture ne sont plus étanches, les balustrades en granit sont abîmées, certains parements doivent être remplacés ou consolidés, quatre verrières du XIIIe siècle, les plus anciens vitraux répertoriés en Bretagne, ne sont plus protégés.",C1
"La plate-forme française du commerce équitable (PFCE), réseau des treize principales associations et entreprises françaises, a élaboré sa propre charte.",C1
Ce petit nombre est notamment dû à ses expérimentations constantes et parfois désastreuses de nouvelles techniques.,C1
Robert percevait même les grincements du grillage contre lequel il devait se lancer de toutes ses forces.,C1
"Devenons poétiquement exaltés pour juger un idéaliste et prouvons-lui que son rêve est médiocre, banal, pas assez fou ou magnifique.",C1
"La population mondiale, malgré un net ralentissement, augmente et elle pourrait atteindre 9, 3 milliards de personnes en 2050, et plafonner autour de 10, 5 à 11 milliards à la fin du XXIe siècle.",C1
Savez-vous que des mouchards s'enregistrent à votre insu?,C1
"Lorsqu'une culture est assimilée par une autre, la langue menacée subit un processus qui passe généralement par trois étapes.",C1
Les joueurs se furent rapidement ressaisis après la tentative désastreuse pour égaliser le score avant la mi-temps.,C1
Les grands artistes sont ceux qui imposent à l'humanité leur illusion particulière.,C1
Il entendit un grand cri venant du fond des bois.,C1
Eus-tu sorti les abats congelés du frigo hier soir afin qu'ils soient à température ambiantes pour le repas de ce midi ?,C1
"En cinquante ans, les progrès accomplis par les techniques de l'information ont entraîné une amplification extraordinaire des flux d'informations.",C1
"Je m'agitais ainsi intérieurement, lorsque je fis connaissance avec le comte de P ***, homme de quarante ans, dont la famille était alliée à la mienne.",C1
"Donner leur chance aux documentaires, les faire exister en salle, telle est la mission en temps normal de l'association Documentaire sur grand écran, créée en 1991.",C1
"Néanmoins, l'introduction de la notion de genre dans la santé entraîne une meilleure compréhension des processus biologiques et sociaux intriqués qui influencent les trajectoires de santé des hommes et des femmes.",C1
"Il est donc important de compenser cette perte en mangeant du sel sous peine de développer des troubles graves : contractures musculaires, malaises, convulsions, détresse respiratoire.",C1
"Abandonnez sans état d'âme le traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à ""faire aimer"" autant qu'à ""faire réviser"" est longue.",C1
La faiblesse des taux d'intérêt contribue à alimenter des risques liés aux expositions au secteur du logement.,C1
"Au même instant, Fabrice se faisait annoncer chez la comtesse Pietranera.",C1
"Parmi les acteurs du commerce équitable, il faut distinguer les organismes ""labellisateurs"", qui certifient des filières d'importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec les producteurs et s'autocontrôlent, faute de mieux.",C1
"Le grand objet de ces expéditions nocturnes, que Fabrice commandait en chef, était d'aller visiter les lignes dormantes, avant que les pêcheurs eussent entendu l'avertissement donné par les petites clochettes.",C1
"Pour la dernière fois, lui et ses camarades de la Convention citoyenne pour le climat doivent se réunir à distance, ce week-end, pour donner leur verdict sur le projet de loi climat et résilience issu du rapport que ces 150 ont voté et dont le gouvernement s'est librement inspiré.",C1
Neige épaisse et glace empêchent les bisons d'atteindre l'herbe.,C1
Les cadres d'aujourd'hui quittent leur entreprise pour ouvrir des maisons d'hôtes.,C1
"Il s'offre les meilleurs guides, gravit les montagnes, s'épanouit",C1
"Comme leurs enfants, en somme, auxquels ces jeunes seniors ressemblent furieusement.",C1
La biographie est une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C1
"La raison invoquée : la mise en péril du mode de vie ancestral du peuple Inuit, du fait des changements climatiques provoqués par les activités humaines.",C1
"Le principe général adopté pour identifier les zones de vulnérabilité repose sur la ""méthode de la suppression"" : partant d'une certaine métrique de connectivité calculée pour l'ensemble du graphe, elle consiste à simuler successivement la suppression de tous les éléments du graphe (taches ou liens) et à calculer pour chacun le taux de variation entre la valeur initiale de la métrique et la valeur tenant compte de la suppression.",C1
"Et, depuis sept ans, la Sorbonne forme des promotions de licenciés ès ""écrivain public, assistant en démarches administratives et en écritures privées"" qui iront exercer leurs talents dans les multiples secteurs que couvre la profession.",C1
"On a ainsi constaté, chez les femmes urbaines de haut niveau socio-économique, au Brésil, 28 % de réduction de la surcharge pondérale de 1989 à 1997.",C1
"Alors, en quelque mois, éleveurs et fonctionnaires du Montana abattent, avec l'accord du parc, plus de 1000 bisons sans même vérifier s'ils sont porteurs de brucellose.",C1
"En Compétitif, il s'agit de 30 manches, l'équipe gagnant 16 manches l'emporte, mais le match se termine par une égalité si aucune des deux équipes n'a atteint 16 à la fin de la trentième manche.",C1
Monet peignit ce portrait emplit de sensualité et lourd de symbolisme.,C1
"Si ces tests confirment l'anomalie, un médecin du service de transfusion prendra contact et informera le donneur, au plus tard dans les dix jours qui suivent le prélèvement.",C1
"Le mythe du retour aux sources, l'engouement écologique, le rejet des transports en commun et des rythmes professionnels épuisants peuvent aussi constituer de puissants ressorts.",C1
"Elle éclaire, cette lueur, les chemins crépusculaires qui mènent vers la délivrance.",C1
"L'inégalité entre pays riches et pauvres, ainsi qu'elle saute aux yeux au mitant du dernier siècle, au moment des décolonisations, n'était ni éternelle, ni inévitable.",C1
"Au milieu de ces collines aux formes admirables et se précipitant vers le lac par des pentes si singulières, je puis garder toutes les illusions des descriptions du Tasse et de l'Arioste.",C1
"En cette grande occasion, pour accomplir ce voyage politique, le marquis remettait à son fils quatre écus, et, suivant l'usage, ne donnait rien à sa femme, qui le menait.",C1
"Le chien battit de la queue frénétiquement, puis il rejoignit sa maîtresse en aboyant joyeusement.",C1
Les canons renversèrent d'abord à peu près six mille hommes de chaque côté ; ensuite la mousqueterie ôta du meilleur des mondes environ neuf à dix mille coquins qui en infectaient la surface.,C1
"Devant chaque porte se trouvait une botte de paille, pour empêcher le froid de passer dessous.",C1
"En parallèle, l'essor des nanotechnologies stimule la miniaturisation et la mobilité de ces outils auxquels il s'agira de greffer des systèmes énergétiques aussi petits que possible.",C1
"Parce que la philosophie se trouve de plus en plus mobilisée en étendard face à un religieux invasif ou agressif, et parce qu'elle prend aujourd'hui les traits d'une quasi-religion laïque, un ouvrage comme celui de Pierre Bouretz brouille des pistes trop tracées.",C1
Son père se maria quatre fois et lui donna dix frères et deux soeurs légitimes venus après Léonard.,C1
"Jeune retraité de l'éducation nationale, Roger Rougier a sa réponse.",C1
À la fois graphiste et journaliste: le directeur artistique du quotidien espagnol La Vanguardia (Barcelone) publie régulièrement un éditorial sous forme d'infographie,C1
"L'effondrement de cet ensemble trop immense avait fractionné les routes de l'Ancien Monde, mais laissé des connaissances du lointain (Marco Polo) et des demandes devenues insatisfaites (les épices pour les Occidentaux).",C1
"En 2001, Rosalie a expliqué à l'ONU, auprès du groupe de travail sur les peuples autochtones, en quoi la survie des bisons sauvages est essentielle et symbolique pour les Indiens des plaines.",C1
Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,C1
"aucune allée n'était praticable, tellement il y avait des arbres couchés partout",C1
"Dans la Caraïbe, la saison des cyclones commence en juin et dure environ six mois",C1
"Une opération à renouveler 2 à 3 fois, avant de l'émietter le plus finement possible, la chiquetailler, comme on dit aux Antilles",C1
"Au moins sept manifestants pro-démocratie ont été tués et plusieurs blessés mercredi en Birmanie par les forces de sécurité qui continuent à tirer à balles réelles, un échec pour la communauté internationale dans l'incapacité d'interrompre la spirale de violence meurtrière.",C1
"En particulier, chez les adolescents qui perçoivent leur réseau amical dans la vie réelle comme étant de faible qualité, les longues durées passées sur Facebook sont associées à davantage de troubles dépressifs et d'anxiété sociale.",C1
"Pour dissuader ses lycéens de faire les Beaux-arts, l'École du cirque ou de se diriger vers diplôme d'arts du spectacle, un proviseur avait coutume de leur raconter cette histoire : J'avais deux copains.",C1
Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1
"Elles enragent souvent de cette horloge biologique implacable, mais peut-être sont-elles ainsi mieux préparées qu'eux à vieillir, du moins celles qui ne s'épuisent pas dans une vaine quête de l'éternelle jeunesse.",C1
"Il change le tempo de la Marseillaise, déplace le défilé du 14 jullet à la Bastille, et s'invite à diner dans le salon des Français",C1
"La première modernité a inventé l'universalisme abstrait, qui définissait tout ce que les individus ont en commun.",C1
"En France, le développement du commerce équitable passe par l'éducation du grand public, encore peu mobilisé parce que peu informé.",C1
Elle connaissait à présent la petitesse des passions que l'art exagérait.,C1
"Ce triomphe, dont le marquis jouissait avec une insolence rare, ne dura que quelques mois, et fut suivi d'un revers humiliant.",C1
"Vous n'avez pas, Monsleur Mitterrand, le monopole du ceur",C1
"Il entendit aussi beaucoup de bruit dans la ville ; en effet un grand mouvement s'opérait, trois divisions traversaient B. Quand, sur les onze heures du soir, la femme du geôlier vint partager ses peines, Fabrice fut plus aimable encore que de coutume ; puis, lui prenant les mains : - Faites-moi sortir d'ici, je jurerai sur l'honneur de revenir dans la prison dès qu'on aura cessé de se battre.",C1
"Or, le Code du travail stipule que pour pouvoir bénéficier d'un congé sabbatique, le salarié doit remplir une double condition d'ancienneté de trente-six mois, consécutifs ou non, dans l'entreprise et six années d'activité professionnelle antérieure",C1
"Bref, première leçon, le québécois n'est pas un français déformé mais plutôt un français historique, proche de celui qui était parlé en France avant le 17e siècle",C1
Plusieurs personnes qui ont vécu ces jours tourmentés racontent.,C1
Ces aventuriers sont des têtes brûlées.,C1
"Malgré les récentes réformes, le régime public constituant le premier pilier du système de retraite reste confronté à des problèmes de viabilité.",C1
"Innovation et simplicité sont les jalons du seul chemin à parcourir pour retrouver concrètement et durablement un élan créatif adapté à un monde qui change, évolue mais reste friand de bonnes choses.",C1
"Contrairement à d'autres tribunaux compétents en matière constitutionnelle tels que la Cour suprême des États-Unis, le Conseil constitutionnel français ne se situe au sommet d'aucune hiérarchie de tribunaux, ni judiciaires ni administratifs.",C1
Un saison parfaite pour les sorcières,A1
"Il y a cinq chambres, une grande cuisine, un salon et deux salles de bains",A1
"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg.",A1
Quel âge tu as ?,A1
Comment ça va ?,A1
"Avec la peinture, faits des dessins sur le pot.",A1
"Tous les dimanches, je vais faire mes courses au marché.",A1
C'est fini.,A1
Tu es très sympa.,A1
je réunis tous ceux qui j'aime bien pour fêter l'arrivée de l'été.,A1
"Je ne mange pas viande, je suis végétarienne.",A1
Je voudrais la clé s'il vous plaît.,A1
"Le quartier est tranquille et agréable, et pas trop loin de l'Université",A1
Il avait faim.,A1
"Et chez vous, comment va la vie ?",A1
"Pendant les trois années d'études, je vivais déjà chez elle.",A1
J'ai eu un week-end un peu spécial.,A1
Il me reste des croissants.,A1
Ce spectacle est très amusant.,A1
Le service des affaires socio-culturelles de l'Université,A1
Laura est la soeur de Julie.,A1
Je suis professeur.,A1
"Moi, je veux aller au zoo et à l'aquarium. et manger des glaces.",A1
Monsieur de Cyrano n'est pas là ?,A1
"Je n'aime pas la pluie, surtout pendant les vacances.",A1
Je ne trouve pas la rue du marché.,A1
Vous bénéficiez d'une réduction ?,A1
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,A1
Je ne te crois pas.,A1
"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",A1
On va manger des glaces et des bonbons.,A1
Un rêve d'enfant réalisé.,A1
Ce n'est pas juste.,A1
"Cet après-midi, avec mes amis nous allons au cinéma.",A1
Il choisit toujours une grande chambre,A1
Je prends le train.,A1
C'est le plat préféré de Manon.,A1
Domi était très contente de découvrir ce monde magnifique.,A1
Mon mari est éditeur.,A1
Un bureau !,A1
Je dois beaucoup travailler mais ça me plaît,A1
Je ne sais pas où elles sont,A1
On est tous ensemble.,A1
La connexion ne fonctionne plus.,A1
Je parle beaucoup.,A1
Le paysage devient tout blanc à cause de la neige et de la glace.,A1
Il sera content de te voir.,A1
Ne m'attends pas.,A1
Je mange de l'herbe,A1
Julie : merci bien.,A1
Tu penses que la bibliothèque est ouverte ?,A1
La balle est partie.,A1
"Ce sera inoubliable, j'en suis sûr!",A1
Je ne veux pas te déranger.,A1
Je vais au travail en transports tous les jours.,A1
Il porte aussi des lunettes rouges,A1
Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1
Je n'aime pas cette photo.,A1
Je vais à la gare.,A1
Quel est ton numéro de téléphone ?,A1
"Il ne faut pas que je dépasse 5, car je ne connais pas 6.",A1
"Je crois qu'en cinquante ans d'amitié on ne s'est pas disputées une fois, on a eu des petits mots de temps en temps mais jamais on s'est fait la tête, jamais on n'est restées sans se parler, jamais, jamais, jamais.",A1
"Merci monsieur, au revoir.",A1
Vous avez des enfants ?,A1
Venez ici.,A1
"Ne te couche pas trop tard, tu vas à l'école demain.",A1
A samedi !,A1
On va manger dans le jardin.,A1
Je ne suis jamais content.,A1
J'aime le sport.,A1
Le rouge est une couleur vive.,A1
Parlez-moi de votre famille.,A1
Il y a un quartier très agréable pour aller se balader,A1
Mes parents habitent dans un immeuble près de chez moi,A1
Elle pense à lui.,A1
Je ne trouve pas mes clés de maison.,A1
Je veux un chien !,A1
Tu es toujours étudiant ?,A1
Qu'est ce que vous faites dans le parc?,A1
"Je cherche cette adresse, vous pouvez m'aider ?",A1
Il y a des cours de portugais.,A1
Va-t'en !,A1
Viens donc t'installer avec nous !,A1
Ce sont des vacances très relaxantes,A1
"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",A1
Vous êtes français,A1
C'est magique pour les enfants.,A1
J'ai vu la tour Eiffel ?,A1
C'est aussi le moment idéal pour profiter de l'eau et aller nager à la mer ou à la piscine.,A1
"Oui, elle est grande. Mais le lit est petit.",A1
J'aime le fromage,A1
J'ai peur du noir.,A1
C'est ça la vraie question.,A1
Je vous coupe les cheveux.,A1
"Ensuite, je prends ma douche pour finir de me réveiller",A1
Ils ont deux enfants : un fils qui s'appelle André et une fille qui est très gentille.,A1
Ils vont souvent à l'opéra,A1
Rien d'autre.,A1
J'aime beaucoup cette exposition.,A1
Le bleu est très présent dans la nature : c'est la couleur du ciel et de la mer.,A1
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande",A1
Elle travaille dans le domaine de l'informatique aussi ?,A1
Vous aimez le sport ?,A1
Il est gros.,A1
"Toi, tu peux apporter un jus de fruits.",A1
Je ne me sens pas bien.,A1
Très bonne journée à toi !,A1
Il y a une armoire ?,A1
J'ai perdu mes feuilles !,A1
L'addition s'il-vous-plaît !,A1
Il a les yeux marron.,A1
Je suis malade,A1
Pas de fête avec vous ce soir,A1
"Je suis désolée, mais je ne suis pas libre ce week-end.",A1
"Là, c'est le bureau de notre manageur.",A1
J'ai bien reçu le lecteur de DVD portable.,A1
Il est midi et quize minutes.,A1
C'est bien !,A1
Ne t'inquiète pas.,A1
Je préfère aller au travail à vélo,A1
Je mange à la cantine.,A1
La police cherche le voleur de mon vélo.,A1
Je n'ai pas bien compris.,A1
"Mes frères et moi parlons français, italien et allemand à la maison",A1
Tout le monde a bien mangé.,A1
Le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.,A1
Qu'est-ce que vous faites le soir ?,A1
Ils sont heureux.,A1
Je regarde un film en allemand.,A1
Il n'a pas de veste,A1
C'est un hôtel au bord de la mer,A1
Ne regardez pas le livre.,A1
Je n'aime pas dessiner.,A1
Oh oui !,A1
Ils ont beaucoup d'idées,A1
"Le soir, ils sont allés à un concert",A1
Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.,A1
Je vais ensuite prendre ma douche dans ma salle-de-bain,A1
Je suis banquière.,A1
"Voilà, monsieur",A1
Fais attention!,A1
Je suis battu.,A1
